window_start,Bathroom,Bedroom,DiningRoom,Kitchen,LivingRoom,OutsideDoor,total_events,n_sensors_active,tod_sin,tod_cos,dow,is_inactive,cluster,is_anomaly,anomaly_score
2024-01-01 06:00:00,2.0,2.0,2.0,2.0,0.0,0.0,8.0,4.0,1.0,6.123233995736766e-17,0,0,1,False,0.0003804844132174745
2024-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,0,1,2,False,0.19602229074777816
2024-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.8660254037844387,-0.4999999999999998,0,0,3,False,0.056256808674484904
2024-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,0,1,2,False,0.22997405535181786
2024-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,0,1,2,False,0.23242887886825225
2024-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,0,1,2,False,0.2248897552902701
2024-01-01 12:00:00,0.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,1.2246467991473532e-16,-1.0,0,0,1,False,0.05501733434978451
2024-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,0,1,5,False,0.21179536913815744
2024-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,0,1,5,False,0.23245828296828508
2024-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,0,1,5,False,0.23646220840128462
2024-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0,1,5,False,0.2411196271857724
2024-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,0,1,5,False,0.2325831095628581
2024-01-01 18:00:00,0.0,0.0,0.0,2.0,2.0,2.0,6.0,3.0,-1.0,-1.8369701987210297e-16,0,0,4,False,0.00178600678847185
2024-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,0,1,5,False,0.2178858329883669
2024-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,0,1,5,False,0.21509531313686164
2024-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,0,1,5,False,0.19670486165332612
2024-01-01 22:00:00,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,-0.5000000000000004,0.8660254037844384,0,0,0,False,0.03264551315571951
2024-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,0,1,0,False,0.15773032937232168
2024-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,False,0.23438846283495757
2024-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,1,1,0,False,0.23865047179863974
2024-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,1,1,0,False,0.23690328989056075
2024-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,1,1,0,False,0.23101314939619294
2024-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,1,1,2,False,0.22928894862391674
2024-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,0.25881904510252074,1,1,2,False,0.22131926126814389
2024-01-02 06:00:00,2.0,2.0,2.0,2.0,0.0,0.0,8.0,4.0,1.0,6.123233995736766e-17,1,0,1,True,-0.001733317882435359
2024-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.9659258262890683,-0.25881904510252063,1,0,3,False,0.04898112367185292
2024-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,1,1,2,False,0.24884513099169492
2024-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,1,1,2,False,0.2526113166400006
2024-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,1,1,2,False,0.24611192356008216
2024-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,1,1,2,False,0.23936961326352013
2024-01-02 12:00:00,0.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,1.2246467991473532e-16,-1.0,1,0,1,False,0.04721205274258322
2024-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,1,1,5,False,0.20376822635259606
2024-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,1,1,5,False,0.22230688223777356
2024-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,1,1,5,False,0.22656736187570153
2024-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,1,1,5,False,0.23278221855127035
2024-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,1,1,5,False,0.22892607361482709
2024-01-02 18:00:00,0.0,0.0,0.0,2.0,2.0,2.0,6.0,3.0,-1.0,-1.8369701987210297e-16,1,0,4,False,0.005984981527859423
2024-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,1,1,5,False,0.2047497892298218
2024-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,1,1,0,False,0.2029500622829326
2024-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,1,1,0,False,0.22592598567663763
2024-01-02 22:00:00,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,-0.5000000000000004,0.8660254037844384,1,0,0,False,0.031975402880513704
2024-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,1,1,0,False,0.23681963088145241
